code,current,name,name_short,gender,function,country,nationality,nationality_code,height,weight,disciplines,events,birth_date
1532951,True,ARENAS Lorena,ARENAS L,Female,Athlete,Colombia,Colombia,COL,162.0,0.0,['Athletics'],"[Women's 20km Race Walk, 'Marathon Race Walk Relay Mixed']",1993-09-17
1533112,True,McKENZIE Ashley,McKENZIE A,Male,Athlete,Jamaica,Jamaica,JAM,0.0,0.0,['Judo'],['Men -60 kg'],1989-07-17
1533176,True,CAMARA Ebrahima,CAMARA E,Male,Athlete,Gambia,Gambia,GAM,178.0,0.0,['Athletics'],[Men's 100m],1996-09-18
1533188,True,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Triathlon'],[Women's Individual],1994-03-07
1533189,True,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Triathlon'],[Women's Individual],1997-08-27
1533190,True,GRAJALES Crisanto,GRAJALES C,Male,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Triathlon'],[Men's Individual],1987-05-06
1533208,True,MAAROUFOU Hachim,MAAROUFOU H,Male,Athlete,Comoros,Comoros,COM,183.0,0.0,['Athletics'],[Men's 100m],1997-02-13
1533209,True,SAADI Maesha,SAADI M,Female,Athlete,Comoros,Comoros,COM,0.0,0.0,['Swimming'],[Women's 50m Freestyle],2007-01-16
1533230,True,DIOSDADO Nuria,DIOSDADO N,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1990-08-22
1533231,True,JIMENEZ Joana,JIMENEZ J,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],"['Team', 'Duet']",1993-08-19
1533232,True,SOBRINO Jessica,SOBRINO J,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1994-05-26
1533234,True,ALFEREZ Regina,ALFEREZ R,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],1997-12-01
1533235,True,ARELLANO Fernanda,ARELLANO F,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2002-02-28
1533237,True,TOSCANO Pamela,TOSCANO P,Female,Athlete,Mexico,Mexico,MEX,0.0,0.0,['Artistic Swimming'],['Team'],2000-01-13
